DC_Real_Property_ID,Address_of_Record,Owner_of_Record,Ward,Year,Property_Name,Address_1,Postal_Code,Primary_Property_Type,Year_Built,_Reported_Building_Gross_Floor_Area_ft_,Site_EUI_kBtu/ft,Weather_Normalized_Source_EUI_kBtu/ft,ENERGY_STAR_Score,Total_GHG_Emissions_MtCO2e,Electricity_Use_-_Grid_Purchase_and_Onsite_kWh,Natural_Gas_Use_therms
6980032,0020 M ST,SOUTHEAST REALTY LLC,6,2011,20 M,20 M Street S.E.,20036,Office,2006,"204,303",67.4,225.1,74,1950.23,4036328.5,
6990028,80 M ST,WELLS REIT II 80 M STREET LLC,6,2011,80 M Street SE,"80 M Street , SE",20003,Office,2001,"319,955",53.1,172.4,93,2339.77,4762621.3,7259.9
7110809,145 N ST,TWO CON LLC,6,2011,Two Constitution Square - Including Retail,"145 N Street, NE",20002,Office,2010,"741,377",65.2,201.5,84,4894.1,11240750,6991.827
7120111,0131 M ST,UNION STATION ASSOCIATES LTD,6,2011,One NoMa Station,"131 M St., N.E.",20002,Office,1937,"436,178",76.1,239.5,70,4522.68,9135631.1,20419.7
7200824,0100 F ST,SECOND ST HOLDING LLC,6,2011,Station Place I,"100 F Street, NE",20002,Office,2005,"802,199",68,230.3,82,7729.21,15996933.1,
7200825,600 2ND ST,600 SECOND ST HOLDINGS LLC,6,2011,Station Place II,600 Second Street NE,20002,Office,2005,"381,401",67,223.1,80,3621.19,7494663.1,
7200826,700 2ND ST,SEVEN HUNDRED 2ND STREET HOLDINGS LLC,6,2011,Station Place III,700 Second Street NE,20002,Office,2009,"521,726",83.3,283.5,75,6151.93,12732482.2,
7410816,1000 NEW JERSEY AV,CAPITOL HILL TOWER HOUSING COOPERATIVE INCF,6,2011,Capitol Hill Tower Housing Cooperative,"1000 New Jersey Ave, SE",20003,Multifamily Housing,2006,"425,000",10.8,33.1,0,599.2,1179743,5486.1
7420039,1100 NEW JERSEY AV,SQUARE 742 LLC,6,2011,Federal Gateway 1,"1100 New Jersey Ave., SE",20003,Office,2003,"303,458",77.4,245.7,91,3292.67,6774527,3653.3
7512930,201 I STREET NE,SENATE SQUARE TOWERS,6,2011,Senate Square,201 I St. NE,20002,Multifamily Housing,2008,"548,941",0,,0,0,,
7700809,1200 NEW JERSEY AV,JBG/FEDERAL CENTER LLC,6,2011,USDOT Building,"1200 New Jersey Ave, SE",20590,Office,2007,"1,578,431",76.2,209.7,94,14530.88,26951375,283612.4
8000029,0300 M ST SE,FEDERAL CENTER LP,6,2011,300 M Street SE,300 M Street SE,20003,Office,2001,"403,096",59.2,185.7,78,2275,5265165,
10452860,1391 PENNSYLVANIA AVE SE,JENKINS ROW CONDOMINIUM,6,2011,Jenkins Row Condominium,1391 Pennsylvania Ave SE,20003,Multifamily Housing,2007,"220,808",12.7,39.8,0,354.2,819769,
11730820,3000 K ST NW Unit: 500,RP MRP WASHINGTON HARBOUR LLC,2,2011,Washington Harbour,3000-3050 K Street,20007,Office,1985,"666,283",0,,0,0,,
11880118,1010 - 1014 WISCONSIN AV NW,WATERFRONT CENTER LP,2,2011,Waterfront,1010-1014 Wisconsin Ave NW,20007,Office,1975,"320,940",83.7,259.9,55,2248,5166703,2918
11900078,1000 THOMAS JEFFERSON ST NW,1000 JEFFERSON ASSOCIATES,2,2011,1000 Thomas Jefferson Street NW,1000 Thomas Jefferson Street NW,20007,Office,1980,"206,122",102,318.3,42,1999,4626464,
11900842,1050 THOMAS JEFFERSON ST NW,KIRSTEIN GERWIRZ AND ABEL,2,2011,1050 Thomas Jefferson Street NW,1050 Thomas Jefferson Street NW,20007,Office,1981,"277,451",103.9,326.3,37,2718.2,6290880,
11910071,1055 THOMAS JEFFERSON ST NW,THE FOUNDRY GEORGETOWN LLC,2,2011,Foundry Building,1055 Thomas Jefferson St NW,20007,Office,1973,"336,868",63.2,198.5,75,1765.3,4085441,
11950030,2800 PENNSYLVANIA AV NW,SHC WASHINGTON LLC,2,2011,"Four Seasons Washington, DC",2800 Pennsylvania Avenue NW,20007,Hotel,1976,"575,458",136.6,290.8,19,5727.1,9540897,302339.634
12220062,3515 PROSPECT ST NW,GEORGETOWN UNIVERSITY,2,2011,Preclinical Science & Basic Science Building (Medical Center),"3900 Reservoir Road, N.W.",20057,Office,1972,"274,755",230.5,479.7,0,6530.73,7171635,
13000532,2500 WISCONSIN AV NW,CARILLON HOUSE LP,3,2011,Carillon House,"2500 Wisconsin Avenue, NW",20007,Multifamily Housing,1954,"366,940",73.2,135.3,0,1968.2,2725727,148950.294
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,2011,Southwest Quadrangle,"37th and O St., NW",20007,College/University,2003,"987,943",26.2,82.2,90,3522.48,6912011,
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,2011,Leavey Center,"3800 Reservoir Road, N.W.",20057,Hotel,1988,"260,566",172.1,376.2,0,4700.22,5426563.2,
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,2011,Intercultural Center,"37th and O St., NW",20007,Office,1983,"224,578",97.8,229.7,0,2437.4,3292245.7,
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,2011,Village C,"37th and O St., NW",20007,College/University,1986,"210,032",76.7,162.1,70,1643.03,1735609,
13210827,3800 RESERVOIR RD,PRESIDENT & DIRECTORS OF GEORGETOWN UNIVERSITY,2,2011,Lauinger Library,"37th and O St., NW",20007,College/University,1970,"203,238",0,,0,0,,
16000001,4400 MASSACHUSETTS AV NW,AMERICAN UNIVERSITY,3,2011,American University Main Campus,4400 Massachusetts Ave NW,20016,Office,1896,"1,846,932",116.8,258,0,21079.81,31877731,1070169
16012423,4201 CATHEDRAL AVE NW,THE TOWERS CONDO,3,2011,The Towers Condominium,4201 Cathedral Avenue NW,20016,Multifamily Housing,1958,"987,343",56,106.9,0,4556.27,5350630,370491
16012461,4100 MASSACHUSETTS AVENUE NW,CondoMain 2461,3,2011,4100 Massachusetts Avenue NW,4100 Massachusetts Avenue NW,20016,Multifamily Housing,1900,"298,345",0,,0,0,,
16610813,5335 WISCONSIN AV NW,CLPF-CC PAVILION LP,3,2011,16610813_Chevy Chase Pavilion,"5335 Wisconsin Avenue, NW",22015,Office,1990,"304,549",31.3,100.3,100,1424.95,2793162,
17092430,4000 TUNLAW RD NW,4000 TUNLAW RD CONDO,3,2011,4000 Tunlaw Condo,"4000 Tunlaw Rd, NW",20007,Multifamily Housing,1960,"227,228",75.8,140.6,0,1447.9,1762210.6,112116.5
17170804,4201 MASSACHUSETTS AV,BERKSHIRE APARTMENTS LLC,3,2011,The Berkshire,4201 Massachusetts Ave NW,20016,Multifamily Housing,1952,"706,306",58.2,108.3,0,3356.5,4679972,251428.796
17860821,4200 WISCONSIN AV NW,AMERICAN UNIVERSITY,3,2011,4200 Wisconsin Ave,"4200 Wisconsin Ave, NW",20016,Office,1975,"212,290",116.8,366.1,31,0,4928397.7,
18020024,4000 MASSACHUSETTS AV NW,EDWARD H KAPLAN,3,2011,4000 Mass,4000 Massachusetts Avenue,20016,Multifamily Housing,1961,"569,467",0,,0,0,,
18050802,3900 WATSON PL NW,3900 WATSON PLACE NW INC,3,2011,3900 Watson Place,"3900 Watson Place, NW",20016,Multifamily Housing,1960,"262,800",0,,0,0,,
